product_gf_code,product_name,product_sku,Available,Damaged,Expired,MRP
GF00062_1,"Godrej No.1 Sandal & Turmeric Soap, 100gm (Pack of 4)",PCRPCRGNO00000016,0,0,0,64.00
GF00062_2,"Godrej No.1 Sandal & Turmeric Soap, 100gm (Pack of 4)",PCRPCRGNO00000018,0,0,0,60.00
GF00062_3,"Godrej No.1 Sandal & Turmeric Soap, 100 gm (Pack of 4)",BTSBDCGNO00000001,0,0,0,68.00
GF00062_4,"Godrej No.1 Sandal & Turmeric Soap, 100g Buy 4 get 1 Free",BBSPCRGNO00000026,0,0,0,68.00
GF00062_5,"Godrej No.1 Sandal & Turmeric Soap, 100gm (Buy 4 Get 1 Free)",BTSBDCGNO00000007,0,0,0,72.00
GF00063,"Godrej No.1 Lime and Aloe Vera Soap,100g (Pack of 4)",PCRPCRGNO00000008,0,0,0,68.00
GF00063_1,"Godrej No.1 Lime and Aloe Vera Soap, 100g Buy 3 Get 1 Free",PCRPCRGNO00000014,2,0,0,60.00
GF00063_2,"Godrej No.1 Lime and Aloe Vera Soap, 100g (Buy 4 Get 1 Free)",BTSBDCGNO00000008,0,0,0,72.00
GF00064,"Godrej No.1 Jasmine  and Milk cream Soap, 100g (Pack of 4)",PCRPCRGNO00000001,0,0,0,68.00
GF00064_1,"Godrej No.1 Jasmine Soap, 100g (Pack of 4)",PCRPCRGNO00000013,0,0,0,64.00
GF00064_2,"Godrej No.1 Jasmine and Milk Cream Soap, 100g (Pack of 4",PCRPCRGNO00000023,0,0,0,60.00
GF00064_3,"Godrej No.1 Jasmine and Milk Cream Soap, 100g Buy 4 get 1 Free",BBSPCRGNO00000027,0,0,0,68.00
GF00064_4,"Godrej No.1 Jasmine  and Milk cream Soap, 100g (Buy 4 Get 1 Free)",BTSBDCGNO00000006,0,0,0,72.00
GF00065,"Godrej No.1 Aloe Vera and White Lily Soap, 100g (Pack of 4)",PCRPCRGNO00000007,0,0,0,68.00
GF00065_1,"Godrej No.1 Aloe Vera and White Lily Soap,100g (Pack of 4)",PCRPCRGNO00000012,0,0,0,64.00
GF00065_3,"Godrej No.1 Aloe Vera and White Lily Soap,100g (Pack of 4)",BTSBDCGNO00000016,0,0,0,72.00
GF00065_4,Godrej Aloe vero & White lily soap 100 Gm ( Buy 4 get 1 free ),BTSBDCGNO00000018,1,0,0,72.00
GF00066,"Godrej No.1 Coconut and Neem Soap, 100g (Pack of 4)",PCRPCRGNO00000017,1,0,0,68.00
GF00066_1,"Godrej No.1 Coconut and Neem Soap, 100g (Buy 4 Get 1 Free)",BDCHPCGNO00000002,0,0,0,72.00
GF00067,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Pack of 4)",PCRPCRGNO00000006,0,0,0,68.00
GF00067_1,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Pack of 4)",PCRPCRGNO00000011,0,0,0,64.00
GF00067_3,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Buy 4 Get 1 Free)",BDCHPCGNO00000003,0,0,0,72.00
GF00068,"Godrej No.1 Lavender and Milk Cream Soap, 100g (Pack of 4)",PCRPCRGNO00000005,0,0,0,68.00
GF00068_1,"Godrej No.1 Lavender and Milk Cream Soap, 100g (Pack of 4)",PCRPCRGNO00000010,0,0,0,64.00
GF00068_3,"Godrej No.1 Lavender and Milk Cream Soap, 100g Buy 4 Get 1 Free",BTSBDCGNO00000004,0,0,0,68.00
GF00068_4,"Godrej No.1 Lavender and Milk Cream Soap, 100g (Buy 4 Get 1 Free)",BDCHPCGNO00000001,0,0,0,72.00
GF00069,"Godrej No.1 Jasmine,70gm (Pack of 4)",PCRPCRGNO00000004,0,0,0,40.00
GF00069_1,"Godrej No.1 Jasmine,63gm (Pack of 4)",BTSBDCGNO00000021,0,0,0,40.00
GF00070,"Godrej No.1 Lime & Aloe Vera, 70g (Pack of 4)",PCRPCRGNO00000003,0,0,0,40.00
GF00070_1,"Godrej No.1 Lime & Aloe Vera, 70g (Pack of 4) With Free Mr. Magic Hanwash refill pack",BTSBDCGNO00000002,0,0,0,40.00
GF00070_2,"Godrej No.1 Lime & Aloe Vera, 63gm (Pack of 4)",BTSBDCGNO00000019,0,0,0,40.00
GF00071,"Godrej No.1 Sandal & Turmeric, 70g (Pack of 4)",PCRPCRGNO00000002,1,0,0,40.00
GF00071_1,"Godrej No.1 Sandal & Turmeric, 70g (Pack of 4) With Free Mr. Magic Hanwash refill pack",BTSBDCGNO00000003,0,0,0,40.00
