Product ID,Product SKU,Product Name,Parent ID,Parent Name,Product Status,MRP
17615,BKDPROTOP00000049,"Tops Dessert Mix Custard Strawberry Flavour, 100 Gm",PPKPTOP0052,TOPS DESSERTMIX CUS STRBRY 100G,active,38
17613,THPDCRCOL00000035,Colgate Cibaca Tooth Paste 175 gm,PTHPCOL0010,Colgate Cibaca Tooth Paste  175 Gm Free Tooth Brush,active,55
17612,THPDCRCOL00000034,Colgate Active Salt  Toothpaste 200 gm,PTHPCOL0012,"Colgate Active Salt Tp,200 gm",active,100
17602,DTBDGTPRI00000004,Pril Dishwash Tub 500 Gm,PDTBPRI0002,Pril Dishwash Tub 500 gm,active,55
17601,PSRIPCMAX00000002,Maxo Genius Auto Shift Machine + Cartridge Combo,PPSRJYO0002,Maxo Genius Auto Shift Machine +Cartridge Combo,active,72
17600,PSRIPCMAX00000001,Maxo 45 Ml Cartridge Liquid,PPSRJYO0004,Maxo 45 Ml Cartridge Liquid,active,69
17599,DTPDGTHEN00000007,"Henko Stain Champaion Detergent, 500 Gm",PDTPHEN0002,Henko Stain Champation Detergent Powder 500 gm,active,60
17598,DTPDGTHEN00000006,"Henko Stain Champaion Detergent, 1 Kg",PDTPHEN0004,Henko Stain Champation Detergent Powder 1 kg,active,120
17597,PSRIPCMRT00000004,"Mortein Powerguard Rat Kill Cake, 100 Gm",PHNKRBI0368,MORTEIN POWERGARD RATKILL 100 GM,active,64
17594,BICPROUNI00000045,Unibic Milk Cookies 100G+100G,PBICUNI0002,Unibic Milk Cookies 100 Gm,active,40
17593,BNCBNCMAR00000003,Wrigley Orbit Fruit 140g,PBNCMAR0150,Wrigley Orbit Fruit 140g,active,5
17592,MCGBNCORB00000001,Orbit Spearmint Sugar Free Chewing Gum  8.8gm,PMCGMAR0002,"Orbit Spearmint Gum, 8.8 gm",active,8
17590,BNCBNCVAN00000013,"Center Fruit Strawberry Jar, 595.2 g (MRP  210)",PBNCVAN0230,"Center Fruit Strawberry Jar, 595.2 gm",active,210
17589,HEDBNCPED00000011,ENO Cool Mint Flavour 5 gm,PHEDENO0002,Eno Cooling Cool Mint Multipack 6 Sach Pack 5 gm,active,8
17588,HEDBNCPED00000010,Pedia Sure Premium Chocolate Flavour 200 Gm,PHEDPED0002,Pedia Sure Premium Chocolate Flavour 200 Gm,active,295
17582,SNGSNGLOC00000809,Loose Maunaka 1Kg,PSNGLOC2582,Loose Maunaka 1Kg,active,480
17581,HNKHNKLOC00001927,5 Bhai Washing Soap 1Kg,PHNKLOC4576,5 Bhai Washing Soap 1Kg,active,58
17580,SNGSNGLOC00000808,5 Bhai Aam Achar Masala 500Gm,PSNGLOC2584,5 Bhai Aam Achar Masala 500Gm,active,140
17579,BNCBNCLOC00000148,Saburi Special Tea 250Gm,PBNCLOC0366,Saburi Special Tea 250Gm,active,90
17578,PROPROLOC00000301,Ceepee Plain Vermicelli 1Kg,PPROLOC0800,Ceepee Plain Vermicelli 1Kg,active,80
17577,HPCHPCSAV00000025,Savlon Antiseptic Liquid 500Ml,PHPCITC0252,Savlon Antiseptic Liquid 500Ml,active,156
17576,PROPROBIK00000047,Bikano Dry Petha 400Gm,PPROBIK0368,Bikano Dry Petha 400Gm,active,90
17575,BNCBNCHOR00000010,Horlicks Classic Malt 500Gm,PBNCHOR0094,Horlicks Classic Malt 500Gm,active,229
17574,PROPROKIS00000008,Kissan Mixed Fruit Jam 1Kg,PPROHUL0126,Kissan Mixed Fruit Jam 1Kg,active,280
17573,BNCBNCCDM00000019,Cadbury Chocobakes Cake 21Gm,PBNCCAD0338,Cadbury Chocobakes Cake 21Gm,active,10
17572,HPCHPCCOL00000046,"Colgate Strong Teeth, 46g",PHPCCOL0356,"Colgate Strong Teeth, 46g",active,20
17571,HPCHPCCOL00000045,Colgate Cibaca Toothpaste 175gm,PHPCCOL0358,Colgate Cibaca Toothpaste 175gm,active,50
