Product ID,Product SKU ID,Match,Product Name,Product Status,MRP,MRP Status,MRP Approval Status,Remarks,MRP
14489,HPCHPCSUN00000021,HPCHPCSUN00000021,Sunsilk CO-CREATIONS stunning black shine amla pearl complex 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
14491,HPCHPCSUN00000023,HPCHPCSUN00000023,Sunsilk lusciously thick & long shampoo 7.5 ml,TRUE,NA,NA,NA,Product is Active but price not found,3
14938,STSSTSLOC00000113,STSSTSLOC00000113,Nataraj 621 sharpener,TRUE,NA,NA,NA,Product is Active but price not found,3
15591,HNKHNKLOC00001176,HNKHNKLOC00001176,Pepsi Glass,TRUE,NA,NA,NA,Product is Active but price not found,3
15573,STSSTSLOC00000189,STSSTSLOC00000189,Natty Sharpener,TRUE,NA,NA,NA,Product is Active but price not found,3
16332,HNKHNKLOC00001402,HNKHNKLOC00001402,LOOSE DISPOSAL GLASS 300 ML ,TRUE,NA,NA,NA,Product is Active but price not found,3
16757,HNKHNKLOC00001615,HNKHNKLOC00001615,NARA LOOSE 1 MTR ,TRUE,NA,NA,NA,Product is Active but price not found,3
16769,HNKHNKLOC00001625,HNKHNKLOC00001625,NEEDLE TURPAI,TRUE,NA,NA,NA,Product is Active but price not found,3
17487,SNGSNGLOC00000790,SNGSNGLOC00000790,LOOSE SUPARI ,TRUE,NA,NA,NA,Product is Active but price not found,3
17136,STSSTSLOC00000282,STSSTSLOC00000282,WHITE ENVELOPE 7*4,TRUE,NA,NA,NA,Product is Active but price not found,3
17877,STSSTSLOC00000301,STSSTSLOC00000301,Classmate Eraser,TRUE,NA,NA,NA,Product is Active but price not found,3
18012,HNKHNKLOC00001981,HNKHNKLOC00001981,Thermocol Plate,TRUE,NA,NA,NA,Product is Active but price not found,3
18825,HPCHPCDOV00000065,HPCHPCDOV00000065,DOVE DAILY SHINE SHAMPOO 7.5ML,TRUE,NA,NA,NA,Product is Active but price not found,3
19241,HARHPCLOC00000003,HARHPCLOC00000003,Pure Dream Anti Dandruff Shampoo 7Ml,TRUE,NA,NA,NA,Product is Active but price not found,3
14199,HPCHPCPAN00000020,HPCHPCPAN00000020,Pantene shampoo silky smooth care 30 % extra 9.1 ml,TRUE,NA,NA,NA,Product is Active but price not found,4
5771,BACSBFPAR00000006,BACSBFPAR00000006,Parle G Original Glucose Biscuit 49 gm,TRUE,NA,NA,NA,Product is Active but price not found,4
6282,HMIHNKLOC00000025,HMIHNKLOC00000025,Shekhar Kapoor 4 Gm,TRUE,NA,NA,NA,Product is Active but price not found,4
6630,SHMHARHNS00000010,SHMHARHNS00000010,"H&S Shampoo Silky Black, + Conditioner 9ml(Offer Pack 4+1)",TRUE,NA,NA,NA,Product is Active but price not found,4
6742,HARHPCPAN00000004,HARHPCPAN00000004,Pantene Shampoo Hairfall Control 10 ml,TRUE,NA,NA,NA,Product is Active but price not found,4
6744,HARHPCPAN00000006,HARHPCPAN00000006,Pantene Shampoo Hairfall Control 8 ml,TRUE,NA,NA,NA,Product is Active but price not found,4
6628,SHMHARHNS00000008,SHMHARHNS00000008,"H&S Shampoo Anti Hair Fall, + Contioner 9ml(Offer Pack 4+1)",TRUE,NA,NA,NA,Product is Active but price not found,4
6904,HARHPCTRE00000004,HARHPCTRE00000004,Tresemme Hair Fall Defence Conditioner 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,4
6910,HARHPCTRE00000010,HARHPCTRE00000010,Tresemme Smooth & Shine Conditioner 7 ml,TRUE,NA,NA,NA,Product is Active but price not found,4
9280,HPCHPCLOR00000001,HPCHPCLOR00000001,Loreal Paris Damaged Hair 5.5Ml,TRUE,NA,NA,NA,Product is Active but price not found,4
13482,HNKHNKLOC00000749,HNKHNKLOC00000749,Jai Mata Di Kapor,TRUE,NA,NA,NA,Product is Active but price not found,4
14314,HPCHPCHNS00000019,HPCHPCHNS00000019,Head & shoulders anti dandruff shampoo SILKY BLACK 4+1 free 8.5 ml,TRUE,NA,NA,NA,Product is Active but price not found,4
16384,HNKHNKLOC00001451,HNKHNKLOC00001451,MATA KI CHUNNI NET 1 N SMALL,TRUE,NA,NA,NA,Product is Active but price not found,4
16691,HPCHPCHNS00000025,HPCHPCHNS00000025,Head & Shoulders Anti Hairfall Shampoo 20 % Extra 8.5 Ml,TRUE,NA,NA,NA,Product is Active but price not found,4
16692,HPCHPCHNS00000026,HPCHPCHNS00000026,Head & Shoulders Cool Menthol 20 % Extra 8.5 Ml,TRUE,NA,NA,NA,Product is Active but price not found,4
17326,SHMHARDOV00000027,SHMHARDOV00000027,Dove Anti Dandurff Therapy Sampoo 7 Ml,TRUE,NA,NA,NA,Product is Active but price not found,4
17808,HPCHPCHNS00000027,HPCHPCHNS00000027,Head And Shoulders Anti Dandruff 2In 1 Shampoo + Conditioner 9 Ml,TRUE,NA,NA,NA,Product is Active but price not found,4
17993,HNKHNKLOC00001973,HNKHNKLOC00001973,Sekhar Kapoor Pouch 4 Gm,TRUE,NA,NA,NA,Product is Active but price not found,4
16005,HNKHNKLOC00001216,HNKHNKLOC00001216,AVSHOK GOLDEN TOBACCO 12 GM ,TRUE,NA,NA,NA,Product is Active but price not found,4.6
5530,CNNSBFBNG00000021,CNNSBFBNG00000021,Bingo Mad Angles Very Peri Peri Namkeen 18 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
7081,BICPROSNF00000017,BICPROSNF00000017,"ITC Sunfeast Bounce Cream Choco Twist, 41 gm",TRUE,NA,NA,NA,Product is Active but price not found,5
5058,TNCBNCTAT00000001,TNCBNCTAT00000001,Tata Agni Tea 15 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
4968,CTLBNCALP00000023,CTLBNCALP00000023,Alpenliebe Cream Strawberry Toffee,TRUE,NA,NA,NA,Product is Active but price not found,5
7559,BICPROPAR00000035,BICPROPAR00000035,"Parle Happy Happy Cookies, 45gm",TRUE,NA,NA,NA,Product is Active but price not found,5
5587,BICPROFNT00000004,BICPROFNT00000004,Funtreat Butter Biscuit 45 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
18988,CTLBNCGEM00000001,CTLBNCGEM00000001,Cadbury Gems 10.68 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5588,BICPROFNT00000005,BICPROFNT00000005,Funtreat Chocolate Biscuit 42 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
17593,BNCBNCMAR00000003,BNCBNCMAR00000003,Wrigley Orbit Fruit 140g,TRUE,NA,NA,NA,Product is Active but price not found,5
5589,BICPROFNT00000006,BICPROFNT00000006,Funtreat Orange Biscuit 42 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
14914,HNKHNKLOC00001104,HNKHNKLOC00001104,POLO bar rings 15 g,TRUE,NA,NA,NA,Product is Active but price not found,5
3909,STSSTSUNB00000005,STSSTSUNB00000005,Doms Dustfree Eraser,TRUE,NA,NA,NA,Product is Active but price not found,5
3911,STSSTSUNB00000007,STSSTSUNB00000007,Doms Ruler 15cm,TRUE,NA,NA,NA,Product is Active but price not found,5
