brand_id,brand_name,sub_brand_id,sub_brand_name
659,Gramfactory,655,ECO Pulses
772,Nimbarka Neem,,
773,PediaCare,,
774,Ananta Spices,,
86,Cocacola,89,Sprite
746,Khadi Natural,,
767,Bertolli,,
349,Horlicks,382,Boost
5,HUL,349,Horlicks
86,Cocacola,90,Coke
86,Cocacola,106,Maaza
768,Dermanest,,
183,PARLE AGRO,184,Frooti
85,Pepsico,119,Tropicana
226,Heinz,236,Complan
183,PARLE AGRO,185,Appy
85,Pepsico,96,Mirinda
159,TATA,271,TATA TEA
5,HUL,127,Lipton
552,Zydus Welness,235,Glucon d
552,Zydus Welness,320,Sugar Free
168,MONDELEZ,176,Bournvita
168,MONDELEZ,170,Dairy Milk
56,P&G,775,new brand
162,Too Yumm,281,Pansari Industries
498,Neem,392,Local brand
